Packet Count,Byte Count,Protocol,Source IP,Destination IP,Malware Detected,Anomaly Detected,Accuracy,Precision,Recall,F1 Score
122,980,UDP,201.136.124.70,178.164.48.110,0,0,0.9191789058705628,0.943622415312215,0.9582727030135756,0.8110003140175657
255,9919,TCP,95.70.118.48,178.58.227.40,0,0,0.9580351206054419,0.8700281316249558,0.7757842928427044,0.7132684803419634
576,6138,ICMP,64.222.213.67,192.166.18.239,0,0,0.9192038202727061,0.8877938887139328,0.8323333444535125,0.76377751487603
962,267,TCP,32.193.173.190,181.27.164.78,1,0,0.897862885764344,0.7922967725318559,0.8087413192193307,0.7890205307005179
828,9017,UDP,224.118.89.214,187.84.162.91,0,0,0.8312753175084237,0.8757893413599349,0.956466370838422,0.8751591651014501
72,2668,ICMP,245.25.190.80,254.13.193.100,0,0,0.9799344307976657,0.9065900127874271,0.7710965190652975,0.9607565170784134
329,301,ICMP,102.65.77.203,94.177.210.140,0,0,0.8915378523683454,0.8085437151744523,0.7197674013965101,0.8146203056858498
150,7439,UDP,110.99.217.31,98.54.69.118,0,0,0.8320169068118831,0.9400070167846368,0.7451716066872437,0.8814370636730435
462,1176,ICMP,215.144.75.117,79.104.168.24,0,0,0.8672156037432206,0.8822187401359473,0.8156544472378182,0.7120823324461404
335,3229,TCP,157.219.148.195,42.239.87.166,0,0,0.9207068961803951,0.8088700228998417,0.7277064644800089,0.7903351230264206
613,4426,UDP,138.204.255.90,23.122.254.16,0,0,0.9558256641710501,0.9058424640891278,0.9189388106855091,0.9600962483113171
371,5587,UDP,249.213.3.44,245.238.74.179,0,0,0.8447365445483173,0.7921489542439369,0.7118621876487754,0.9179486685889596
444,9402,ICMP,0.182.164.182,63.1.85.44,0,0,0.8443402479486452,0.8664601390334676,0.832162409150806,0.9546465590026789
387,8929,UDP,159.82.67.159,229.100.190.11,0,0,0.9204090098124714,0.8369994332720005,0.9008100747861714,0.8766464771331717
522,8229,UDP,114.168.18.171,94.82.28.30,0,0,0.8224533674899269,0.8014395133180261,0.8971642322471112,0.8916920573764577
893,639,ICMP,210.44.62.8,153.216.198.138,0,0,0.9205202908958166,0.789284468561807,0.8052310110864789,0.847898260167575
944,2861,ICMP,171.167.86.38,217.158.204.69,0,0,0.9298010745701584,0.9268590535752919,0.8683001739768602,0.7498404984626578
773,1882,TCP,164.155.224.157,126.201.94.8,0,0,0.9606102212977757,0.948330681338741,0.9409308308055023,0.8498730495312545
489,1710,UDP,227.181.167.224,167.96.168.231,0,0,0.8754304984598271,0.8672431143628463,0.9771741239738803,0.827944836837198
151,112,UDP,228.98.127.161,58.23.11.246,0,0,0.9245896564114945,0.8790930721766199,0.7598220151637133,0.7133414975563306
268,1275,UDP,16.36.250.245,247.49.0.27,0,0,0.848135364886021,0.8119444777869922,0.8653775323368249,0.7818123298324742
208,349,ICMP,226.5.106.34,104.94.238.8,0,0,0.8703982457634416,0.826072834174675,0.7566066301874859,0.8729413783703119
862,8759,UDP,243.25.138.191,157.125.25.56,0,1,0.9260449026076059,0.9188703812858757,0.8897699081551319,0.9068719903495712
267,7589,TCP,50.251.28.169,130.9.61.207,0,0,0.9518966211289144,0.857606027354569,0.9241578936452819,0.7024878007148923
800,2722,UDP,21.109.65.216,162.201.201.28,0,0,0.9813861414053516,0.8240098620489285,0.8183656446957115,0.8283901929220204
124,1651,ICMP,190.162.68.138,78.225.59.128,0,0,0.8162804973772351,0.7520765227642731,0.9584306031631253,0.7355872852037203
883,6958,UDP,87.22.33.221,137.232.182.120,0,0,0.9445765785277672,0.7666898681893071,0.7931688196904418,0.8432175649251438
11,3208,UDP,253.42.74.3,228.96.104.38,0,0,0.963661428068165,0.79346722736515,0.8149373848555141,0.8875192294433132
870,922,UDP,200.13.222.93,96.255.248.62,0,0,0.9415611028999048,0.759626976158477,0.8119141152101648,0.9337638020311468
235,3411,ICMP,14.10.8.218,140.5.232.141,0,0,0.8306059604946227,0.922721557160008,0.9184751613427016,0.7150382709555722
649,3859,ICMP,95.171.99.99,156.148.33.49,0,0,0.908804487892598,0.8905409935184146,0.8710053563955737,0.8637540217633495
14,2893,TCP,148.174.220.130,121.44.13.77,0,0,0.8617376535112605,0.8778691528668515,0.8823847358510575,0.8409167298966302
665,9918,ICMP,151.10.138.12,21.52.124.112,0,0,0.8077149965360408,0.8557195187269933,0.8447287120385192,0.8914620743432908
292,9837,TCP,58.130.241.183,110.10.133.148,0,0,0.8784827925738231,0.8337847215184518,0.8170753920238161,0.8848494541993257
57,8363,ICMP,121.100.246.174,37.124.39.76,0,0,0.9888916211223079,0.8340853818600469,0.883568445085559,0.792393261465818
546,6107,ICMP,149.125.118.77,98.247.193.42,0,0,0.9361003833815346,0.7524364708465983,0.9711753340143447,0.9066236381119573
99,7604,TCP,199.211.245.247,37.192.174.122,0,0,0.8215593987558639,0.7551291647756418,0.9057809825841454,0.8111605303694082
829,2760,ICMP,15.104.103.107,240.197.247.208,0,0,0.8885794072785421,0.7676924952627472,0.7038358240025421,0.8216924780022372
890,2640,UDP,195.141.102.8,174.27.201.236,0,0,0.8397939554457333,0.7907363605891854,0.7147542215617588,0.8868343145165911
949,1185,ICMP,214.215.165.25,40.161.194.224,0,0,0.9289801091202706,0.779888410159347,0.771312994084382,0.9420693901550892
912,6294,TCP,34.54.50.165,134.76.204.168,0,0,0.9672702695751971,0.8225205970438813,0.9095019286682676,0.8116825727751066
124,3625,ICMP,38.181.120.176,183.101.145.81,0,0,0.9464828811893827,0.7665092031486445,0.8236610239234543,0.8253538285600606
861,9653,UDP,161.180.80.220,110.192.249.87,0,0,0.8212238519338941,0.8106054619975755,0.9685902122205676,0.7629100303188527
312,5349,ICMP,177.77.42.5,63.95.68.175,0,0,0.8710436171341087,0.8834863995281755,0.7691389810047934,0.8475211122471076
619,9356,UDP,162.176.142.241,161.252.22.78,0,0,0.9838507481742174,0.9076618993741317,0.8563137668645491,0.7590092709980208
567,530,ICMP,133.112.97.92,119.61.184.94,0,0,0.9135893204128234,0.8220310869419958,0.8235588450534703,0.9618647388807775
283,7965,ICMP,69.24.199.232,23.106.95.240,0,0,0.9282072476597075,0.8079470329835379,0.7786057851721242,0.8919078265596936
930,1531,TCP,116.108.202.27,169.60.50.143,0,0,0.970901293624497,0.8063743629335638,0.945220555637057,0.7805496076175089
141,7763,TCP,237.173.123.5,135.69.187.68,0,0,0.8246389153931715,0.867179167736841,0.9451902578553171,0.7226769114068584
278,7914,TCP,182.63.245.200,151.142.142.24,0,0,0.8970931776423635,0.8833364716710305,0.9415070333040259,0.975400484311997
731,2334,ICMP,112.39.24.89,50.94.102.17,0,0,0.8142102361390033,0.765024401110112,0.8826083193889166,0.7678883282445292
294,392,UDP,34.152.248.217,29.165.35.16,0,0,0.9871250827320314,0.9005528064802646,0.814304511826049,0.7073454963624696
333,3455,UDP,147.209.140.213,16.112.74.36,0,0,0.8641758219365517,0.8333854150163359,0.9436028347106321,0.7474578731961342
184,2396,ICMP,36.244.149.96,119.168.127.136,0,0,0.9568438373677574,0.7864917484986428,0.838617818935529,0.7709808959043207
270,4256,TCP,138.127.42.193,242.21.247.140,0,0,0.8481881128207449,0.7907506085425395,0.7178735785667911,0.9256259082139682
135,429,ICMP,189.56.236.53,141.251.226.208,0,0,0.9625591243911116,0.9176684545106153,0.7097514124428164,0.7510788997490337
924,6315,TCP,65.111.235.214,59.179.122.205,0,0,0.8708753841493739,0.9322654379360538,0.8596930834047967,0.7142360712134611
745,5479,ICMP,23.108.102.107,74.10.231.122,0,0,0.9176393403100565,0.9186397479954374,0.8235294793171497,0.7106883463063144
221,8219,ICMP,66.217.32.140,71.95.234.93,0,0,0.8957724920293613,0.7999589567148998,0.7879882838749929,0.9185434030867218
695,2689,ICMP,20.237.38.168,50.98.155.147,0,0,0.8545480782271923,0.8104295763239668,0.8446731010396251,0.9562944510274987
967,7166,UDP,109.140.64.57,69.207.119.83,0,0,0.937063382492674,0.9308720878094207,0.7881411939495945,0.8952912448502542
466,5777,ICMP,109.76.23.243,205.14.34.116,0,0,0.9637914594621385,0.8141847443379633,0.7869315041354898,0.9707723609938375
475,9681,TCP,98.238.118.9,80.78.56.189,0,0,0.9661276608445818,0.8060838262572796,0.9246522689378718,0.8960070864705443
597,4148,ICMP,127.31.120.28,220.167.49.207,0,0,0.9848971249711281,0.9215105886907915,0.7097669304910142,0.7390084085549493
62,1705,UDP,102.13.117.222,209.248.98.56,0,0,0.922198491980281,0.9264484017687155,0.7238211251115791,0.8388852407941736
798,7799,ICMP,50.48.187.78,228.52.98.167,0,0,0.8880587577538235,0.9276888975959642,0.8549387688589204,0.8219407844563231
322,1863,TCP,189.66.152.98,179.58.251.198,0,0,0.8185799648425357,0.7699917828739928,0.9267516714674426,0.93994918314074
271,7520,ICMP,207.180.50.112,251.102.113.94,0,0,0.8039724640827236,0.8559571002338968,0.7584184234801715,0.7048664582543701
497,6143,TCP,200.155.198.206,54.116.204.232,0,1,0.8531612086333386,0.8474771585659846,0.7323426479436674,0.7488894424255053
415,3748,TCP,106.109.144.171,220.136.1.79,0,0,0.8905912942310626,0.7651779284417365,0.8094943401689844,0.8987069338775077
323,2049,UDP,188.118.142.225,23.15.103.236,0,0,0.9278902079700992,0.8973595764250669,0.7379556644754941,0.8239443358135743
85,7039,TCP,243.172.176.7,71.36.125.235,0,0,0.8780360846988465,0.8581149763418058,0.7630070021715434,0.7138640386279358
626,4208,ICMP,194.196.241.210,131.46.95.216,0,0,0.9693161998135384,0.8149483173227583,0.838376435379277,0.8741064015312552
135,4470,UDP,100.53.178.188,91.145.205.135,0,0,0.9304889309972855,0.83669544699752,0.9147890847051239,0.9424479400487004
779,2013,UDP,176.79.78.180,54.113.74.160,0,0,0.8234816221348673,0.9036879692829813,0.9183619399895037,0.8821550101134861
737,9941,UDP,4.173.75.220,127.108.240.71,0,1,0.915015858642267,0.8912517328633086,0.8529459202331258,0.845635119141521
895,7211,TCP,21.64.70.20,55.30.26.81,0,0,0.8822471835305817,0.7500967244654309,0.8205192288027418,0.7743911104727152
272,7898,ICMP,101.148.145.140,254.193.46.59,0,0,0.8496953947003381,0.7815617003582681,0.8560857935805459,0.8622181246859525
631,9785,ICMP,58.238.187.135,63.196.245.244,0,0,0.9351777585382167,0.8770645502957791,0.9177362419151679,0.7504727910761388
521,610,UDP,159.220.173.94,205.89.139.239,0,0,0.9668077741303975,0.9069832178469762,0.863450465872305,0.948257959901692
773,2931,ICMP,32.196.40.99,134.138.62.88,0,0,0.8138983298584062,0.8458068535067275,0.7706922429270769,0.8453663720552044
772,2343,TCP,190.28.223.217,57.228.27.136,0,0,0.8213708344507338,0.7849044221186683,0.9509719757819771,0.9262321266568011
470,1374,UDP,27.112.193.93,72.8.68.245,0,0,0.9017684651624561,0.9199001319316877,0.7677116438963938,0.9364740162054056
437,3449,UDP,126.30.203.43,157.72.34.9,0,0,0.9794298346548049,0.9228702189092276,0.7677930315863378,0.9775825341240273
